ecosystem,name,version,dep_type,tree,declared_in,status,eol_date,last_publish,deprecated,risk,notes
platform,python,3.9,runtime,platform,build/containerfiles/Containerfile (ubi9 python3),EOL,2025-10-31,,false,runtime-prod,UBI9 python3 is 3.9
npm,@emotion/react,11.14.0,dependencies,root-workspace,packages/app/package.json,unmaintained,,2024-12-09,false,runtime-prod,
npm,@janus-idp/cli,patch:@janus-idp/cli@npm%3A3.7.0#~/.yarn/patches/@janus-idp-cli-npm-3.7.0-f225cddfdb.patch,devDependencies,root-workspace,packages/app/package.json,unmaintained,,2026-01-20,true,build,npm deprecated: This package is deprecated and will no longer receive updates. Please migrate to @red-hat-developer-hub/cli. See https://github.com/redhat-developer/rhdh-cli for more information.
npm,@material-ui/core,4.12.4,dependencies,root-workspace,packages/app-next/package.json,unmaintained,,2022-04-03,true,runtime-prod,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
npm,@material-ui/icons,4.11.3,dependencies,root-workspace,packages/app-next/package.json,unmaintained,,2022-04-03,false,runtime-prod,
npm,@material-ui/lab,4.0.0-alpha.61,dependencies,root-workspace,packages/app-next/package.json,unmaintained,,2022-04-03,true,runtime-prod,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
npm,@testing-library/react-hooks,8.0.1,devDependencies,root-workspace,packages/app/package.json; packages/plugin-utils/package.json,unmaintained,,2022-06-18,false,test-only,
npm,@types/mock-fs,4.13.4,devDependencies,root-workspace,plugins/scalprum-backend/package.json,unmaintained,,2023-11-07,false,test-only,
npm,@types/zen-observable,0.8.7,devDependencies,root-workspace,packages/app-next/package.json,unmaintained,,2023-11-22,false,test-only,
npm,express-promise-router,4.1.1,dependencies,root-workspace,plugins/licensed-users-info-backend/package.json,unmaintained,,2021-11-30,false,runtime-prod,
npm,history,5.3.0,dependencies,root-workspace,packages/app-next/package.json,unmaintained,,2022-02-22,false,runtime-prod,
npm,husky,8.0.3,devDependencies,root-workspace,package.json,unmaintained,,2024-11-18,false,build,
npm,mock-fs,5.5.0,devDependencies,root-workspace,plugins/scalprum-backend/package.json,unmaintained,,2025-02-06,false,build,
npm,node-fetch,2.7.0,dependencies,root-workspace,plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,unmaintained,,2023-07-25,false,runtime-prod,
npm,zen-observable,0.10.0,dependencies,root-workspace,packages/app-next/package.json,unmaintained,,2022-11-28,false,runtime-prod,
pypi,colorama,==0.4.6,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2022-10-25,false,docs-python,
pypi,ghp-import,==2.1.0,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2022-05-02,false,docs-python,
pypi,hatch-requirements-txt,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2024-01-24,false,docs-python,unpinned
pypi,mdx-truly-sane-lists,==1.3,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2022-07-19,false,docs-python,
pypi,mergedeep,==1.3.4,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2021-02-05,false,docs-python,
pypi,mkdocs,==1.6.0,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2024-08-30,false,docs-python,
pypi,mkdocs-material-extensions,==1.3.1,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2023-11-22,false,docs-python,
pypi,python-dateutil,>=2.9.0.post0,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2024-03-01,false,docs-python,
pypi,python-slugify,==8.0.4,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2024-02-08,false,docs-python,
pypi,six,==1.16.0,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2024-12-04,false,docs-python,
pypi,text-unidecode,==1.3,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2019-08-30,false,docs-python,
pypi,watchdog,==3.0.0,dependencies,python,python/requirements-build.in; python/requirements.in,unmaintained,,2024-11-01,false,docs-python,
pypi,plantuml-markdown,https://github.com/mikitex70/plantuml-markdown/archive/592837e9c26b9e92d711af42bce8fb8697183f9d.zip,dependencies,python,python/requirements-build.in; python/requirements.in,unknown,,,false,docs-python,url pin; url pin
npm,@backstage-community/plugin-rbac-backend,7.12.5,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-14,false,runtime-prod,
npm,@backstage-community/plugin-rbac-common,1.26.1,dependencies,root-workspace,packages/app/package.json; plugins/licensed-users-info-backend/package.json,OK,,2026-08-07,false,runtime-prod,
npm,@backstage-community/plugin-rbac-node,1.20.1,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-07,false,runtime-prod,
npm,@backstage-community/plugin-scaffolder-backend-module-annotator,2.16.1,dependencies,root-workspace,packages/backend/package.json,OK,,2026-07-14,false,runtime-prod,
npm,@backstage/app-defaults,1.7.9,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/backend-app-api,1.7.1,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/backend-defaults,0.17.3,dependencies,root-workspace,packages/backend/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/backend-dynamic-feature-service,0.8.3,dependencies,root-workspace,packages/backend/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/backend-plugin-api,1.9.2,dependencies,root-workspace,packages/backend/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/backend-test-utils,1.11.4,devDependencies,root-workspace,packages/backend/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-08-18,false,test-only,
npm,@backstage/catalog-client,1.16.0,dependencies,root-workspace,packages/backend/package.json; plugins/licensed-users-info-backend/package.json,OK,,2026-07-14,false,runtime-prod,
npm,@backstage/catalog-model,1.9.0,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json; packages/backend/package.json; packages/plugin-utils/package.json; plugins/licensed-users-info-backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/cli,0.36.3,devDependencies,root-workspace,package.json; packages/app/package.json; packages/backend/package.json; packages/plugin-utils/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-08-18,false,build,
npm,@backstage/cli,0.36.3,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/cli-defaults,0.1.3,devDependencies,root-workspace,package.json; packages/app/package.json; packages/backend/package.json; packages/plugin-utils/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-08-18,false,build,
npm,@backstage/cli-defaults,0.1.3,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/cli-node,0.3.3,dependencies,root-workspace,packages/backend/package.json,OK,,2026-07-14,false,runtime-prod,
npm,@backstage/config,1.3.8,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json; packages/backend/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-05-19,false,runtime-prod,
npm,@backstage/core-app-api,1.20.2,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/core-compat-api,0.5.12,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/core-components,0.18.11,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/core-plugin-api,1.12.7,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json; packages/plugin-utils/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/errors,1.3.1,dependencies,root-workspace,plugins/licensed-users-info-backend/package.json,OK,,2026-05-19,false,runtime-prod,
npm,@backstage/frontend-app-api,0.16.4,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/frontend-defaults,0.5.3,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/frontend-dynamic-feature-loader,0.1.13,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/frontend-plugin-api,0.17.2,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/frontend-test-utils,0.6.1,devDependencies,root-workspace,package.json; packages/app/package.json,OK,,2026-08-18,false,test-only,
npm,@backstage/integration-react,1.2.19,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-api-docs,0.14.2,dependencies,root-workspace,packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-app,0.5.0,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-app-backend,0.5.15,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-auth-backend,0.29.1,dependencies,root-workspace,packages/backend/package.json; plugins/licensed-users-info-backend/package.json,OK,,2026-08-18,false,auth-crypto-network,
npm,@backstage/plugin-auth-backend-module-github-provider,0.5.4,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,auth-crypto-network,
npm,@backstage/plugin-auth-backend-module-guest-provider,0.2.20,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,auth-crypto-network,
npm,@backstage/plugin-auth-backend-module-guest-provider,0.2.20,devDependencies,root-workspace,plugins/licensed-users-info-backend/package.json,OK,,2026-08-18,false,auth-crypto-network,
npm,@backstage/plugin-auth-node,0.7.2,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,auth-crypto-network,
npm,@backstage/plugin-auth-react,0.1.28,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,auth-crypto-network,
npm,@backstage/plugin-catalog,2.0.6,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-backend,3.8.0,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-backend-module-logs,0.1.23,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-backend-module-openapi,0.2.23,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-backend-module-scaffolder-entity-model,0.2.21,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-common,1.1.10,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-05-19,false,runtime-prod,
npm,@backstage/plugin-catalog-graph,0.6.5,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-import,0.13.14,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-node,2.2.2,devDependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,build,
npm,@backstage/plugin-catalog-react,3.1.0,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-catalog-unprocessed-entities,0.2.32,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-events-backend,0.6.3,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-events-node,0.4.23,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-org,0.7.5,dependencies,root-workspace,packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-permission-backend,0.7.13,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-permission-common,0.9.9,dependencies,root-workspace,plugins/licensed-users-info-backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-permission-react,0.5.2,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-proxy-backend,0.6.14,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-scaffolder,1.38.0,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-scaffolder-backend,4.0.1,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-scaffolder-react,2.0.1,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-search,1.7.5,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-search-backend,2.1.3,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-search-backend-module-catalog,0.3.16,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-search-backend-module-pg,0.5.56,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-search-common,1.2.24,dependencies,root-workspace,packages/app-next/package.json,OK,,2026-05-19,false,runtime-prod,
npm,@backstage/plugin-search-react,1.11.5,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-user-settings,0.9.4,dependencies,root-workspace,packages/app-next/package.json; packages/app/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/plugin-user-settings-backend,0.4.4,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-18,false,runtime-prod,
npm,@backstage/test-utils,1.7.19,devDependencies,root-workspace,packages/app-next/package.json; packages/app/package.json; packages/plugin-utils/package.json,OK,,2026-08-18,false,test-only,
